league_id,league_name
976248493838798848,#SFB13 Captain D's 
976248332924379136,#SFB13 Chips Ahoy
976248080729268224,#SFB13 Church's Chicken
976247935782445056,#SFB13 Food Lion
976247753330253824,#SFB13 French's 
976247571075125248,#SFB13 Hubba Bubba
976247076315066368,#SFB13 IHOP
976246826078732288,#SFB13 Jamba
976246638014468096,#SFB13 Kraft
976246493029965824,#SFB13 Logan's Roadhouse 
976246289098690560,#SFB13 Long John Silver's 
976245979819098112,#SFB13 Miller's Ale House
976245561852477440,#SFB13 Mission BBQ
976245185321480192,#SFB13 Nabisco
976245039401582592,#SFB13 Noodles & Company
976244854655098880,#SFB13 Panera Bread
976244636865941504,#SFB13 Perkins Restaurant & Bakery
976244383911661568,#SFB13 Publix
976244225882783744,#SFB13 Blow Pop
976243970499997696,#SFB13 Bud Light
976243766015102976,#SFB13 Carrabba's 
976243523169099776,#SFB13 Circle K
976243282881658880,#SFB13 Freddy's Frozen Custard
976242821336215552,#SFB13 Fritos
976242580620951552,#SFB13 Jelly Belly
976242328287383552,#SFB13 MOD Pizza
976242123500544000,#SFB13 Papa John's 
976241886887292928,#SFB13 Paunch Burger
976241663775420416,#SFB13 Roscoe's
976241505134329856,#SFB13 Randy's Donuts
976241207141511168,#SFB13 Pink's Hot Dogs
976240982880501760,#SFB13 In-N-Out
976240736616099840,#SFB13 Popsicle
976240418029457408,#SFB13 Qdoba
976239977853943808,#SFB13 TGI Friday's 
976239713524772864,#SFB13 The Habit Burger
976238934399283200,#SFB13 Tyson
976238667150778368,#SFB13 California Pizza Kitchen 
976238177612554240,#SFB13 Campbell's 
976237611394158592,#SFB13 Jack Links
976237399451725824,#SFB13 Kroger
976237174406389760,#SFB13 McAlister's Deli
976236807119585280,#SFB13 Outback Steakhouse 
976236503741292544,#SFB13 Snickers
976236169564397568,#SFB13 Wonder Bread
976235776574849024,#SFB13 Alamo Freeze
976235478557032448,#SFB13 Carl's Jr./Hardee's 
976235159391408128,#SFB13 Marco's Pizza
976234515964252160,#SFB13 Minute Maid
976234302172147712,#SFB13 P.F. Chang's 
976233993299353600,#SFB13 PEZ
976233465781755904,#SFB13 Red Robin
976233229600493568,#SFB13 SweeTarts
976232981373272064,#SFB13 Tootsie Roll
976232790658179072,#SFB13 Coors
976232568838316032,#SFB13 El Pollo Loco
976232373383737344,#SFB13 Heinz
976232193984888832,#SFB13 Jolly Ranchers
976231954381099008,#SFB13 Scoops Ahoy
976231768758013952,#SFB13 Smoothie King
976231184717979648,#SFB13 Subway
976230945437114368,#SFB13 Takis
976230327251197952,#SFB13 Yard House
976230014360334336,#SFB13 Applebee's 
976229376545161216,#SFB13 Cheetos
976228199594074112,#SFB13 Domino's
976227792155148288,#SFB13 Dunkaroos
976227590073565184,#SFB13 Firehouse Subs
976227352424300544,#SFB13 Lipton
976227134916157440,#SFB13 The Cheesecake Factory 
976226938727575552,#SFB13 Zaxby's
976226779109158912,#SFB13 Chuck E. Cheese
976226564113235968,#SFB13 Ben & Jerry's 
976226383519174656,#SFB13 Cheerwine
976223091221127168,#SFB13 Cooper's Hawk Winery
976222929027440640,#SFB13 KFC
976219968872243200,#SFB13 Moe's Southwest Grill
976219764827754496,#SFB13 Powerade
976219580588716032,#SFB13 Swedish Fish
976219448543592448,#SFB13 Whole Foods
976219257782484992,#SFB13 Aldi
976219061782634496,#SFB13 Doritos
976218454606790656,#SFB13 Dutch Bros. Coffee
976218191045152768,#SFB13 Goldfish
976218080873377792,#SFB13 Moe's
976217896378519552,#SFB13 Pizza Hut
976217778971533312,#SFB13 Schweppes
976217640899301376,#SFB13 Snuggly Duckling
976217431691640832,#SFB13 Sonic
976217317648461824,#SFB13 Surge
976217154116714496,#SFB13 Wegmans
976216871999483904,#SFB13 Dairy Queen
976216732891217920,#SFB13 Hershey
976216612392992768,#SFB13 Olive Garden
976216479219732480,#SFB13 Oreo
976216352417431552,#SFB13 Popeye's
976216215674736640,#SFB13 A&W
976216107176538112,#SFB13 Baskin-Robbins
976215500915023872,#SFB13 Burger King
976215375102767104,#SFB13 High Noon
976215228578865152,#SFB13 Krusty Burger
976215097020358656,#SFB13 Mello Yello
976214916296187904,#SFB13 Skittles
976214742555570176,#SFB13 The Drunken Clam
976214576268128256,#SFB13 White Castle
976214462183120896,#SFB13 7 Up
976214276178231296,#SFB13 Guinness 
976214152773505024,#SFB13 Luke's Diner
976213969012678656,#SFB13 McDonald's 
976213866684137472,#SFB13 Prime
976213710123446272,#SFB13 Sprite
976213587888840704,#SFB13 Texas Roadhouse 
976213308401405952,#SFB13 Arby's 
976213122832719872,#SFB13 Blue Moon
976212940170788864,#SFB13 Bluth's Frozen Banana Stand
976212767797567488,#SFB13 Bob's Burgers
976212619105259520,#SFB13 Buffalo Wild Wings
976208499250147328,#SFB13 Canada Dry
976207971694788608,#SFB13 Central Perk
976207827024896000,#SFB13 Cheez-It
976207604575797248,#SFB13 Chik-Fil-A
976207421867646976,#SFB13 Chili's 
976207270977617920,#SFB13 Chiquita
976207160138862592,#SFB13 Dr. Pepper
976207016303652864,#SFB13 Dunkin'
976206900356259840,#SFB13 Fanta
976206634529738752,#SFB13 Hard Rock Cafe
976205456874045440,#SFB13 Jarritos
976205339613786112,#SFB13 Jersey Mike's 
976205178544152576,#SFB13 Kool-Aid
976204529618227200,#SFB13 Little Caesars
976204374806499328,#SFB13 Pabst Blue Ribbon
976204236943855616,#SFB13 Pepsi
976204078277599232,#SFB13 Raising Cane's 
976203858995122176,#SFB13 Starbucks
976203623115886592,#SFB13 Taco Bell
976203419906097152,#SFB13 Tim Horton
976203263441702912,#SFB13 Trader Joe's
976202913464815616,#SFB13 Wendy's
